863044774588272640;#encontro;[1,1,1,1,1,1,1];0;1;test
865583716088766467;#encontro;[1,1,1,1,1,1,1];0;1;test
865063232201011201;#TheNoite;[1,0,1,1,1,0,0];2;1;test
864668391008763905;#masterchefbr;[0,0,0,0,0,0,0];0;0;test
865572794016378882;#encontro;[-1,-1,-1,-1,-1,-1,-1];0;-1;test
864531723215925250;#videoShowAoVivo;[1,1,1,1,1,1,1];0;1;test
864176639143555072;#videoShowAoVivo;[0,0,1,0,0,0,0];0;0;test
864674916532146176;#masterchefbr;[0,0,1,0,0,0,0];0;0;test
865566046320832512;#encontro;[-1,-1,-1,-1,-1,-1,-1];2;-1;test
862307799258329089;#encontro;[-1,-1,-1,-1,-1,-1,-1];0;-1;test
865901040855650307;#édecasa;[1,1,1,1,1,1,1];0;1;test
864877489801310210;#masterchefbr;[0,0,1,0,1,1,1];1;1;test
864702921698664448;#TheNoite;[0,1,1,0,1,1,1];1;1;test
863575527315181569;#altasHoras;[1,1,1,1,0,1,1];0;1;test
864901773076701184;#videoShowAoVivo;[0,0,1,-1,-1,0,0];4;0;test
865071562449448960;#ConversaComBial;[1,1,1,1,1,1,1];0;1;test
864534043643322369;#videoShowAoVivo;[1,1,1,1,1,1,1];0;1;test
864684453909671936;#ConversaComBial;[1,1,1,1,1,1,1];0;1;test
864653900405772288;#masterchefbr;[1,0,1,1,1,1,1];2;1;test
862319879470407681;#encontro;[0,0,1,0,1,1,1];1;1;test
864666008333807616;#masterchefbr;[0,0,1,1,-1,0,0];0;0;test
862154585120681985;#masterchefbr;[0,0,1,1,1,1,0];2;1;test
864814104745320449;#masterchefbr;[-1,0,0,-1,1,-1,-1];1;-1;test
864700805017993216;#masterchefbr;[1,1,1,1,1,0,0];0;1;test
864665198359183361;#masterchefbr;[-1,-1,-1,-1,-1,-1,-1];0;-1;test
864652037551775744;#masterchefbr;[1,1,1,1,1,1,1];0;1;test
865659608513339392;#masterchefbr;[0,0,-1,0,0,0,0];0;0;test
865311265773813760;#maisvoce;[0,0,1,0,0,0,0];2;0;test
862140098879606784;#masterchefbr;[0,0,1,0,0,1,-1];2;0;test
865068372496613376;#ConversaComBial;[0,0,1,1,0,1,1];1;1;test
865547533774274560;#maisvoce;[0,0,1,0,-1,-1,0];0;0;test
864902024638418944;#videoShowAoVivo;[0,0,1,0,-1,0,0];1;0;test
864516795549536257;#TheNoite;[1,1,1,1,1,1,1];0;1;test
864681389760946176;#masterchefbr;[-1,-1,-1,-1,-1,-1,-1];0;-1;test
863247140142927872;#ConversaComBial;[0,1,1,1,1,0,1];0;1;test
863582224989474816;#altasHoras;[1,1,1,1,1,1,1];0;1;test
864716100830978048;#masterchefbr;[1,0,-1,-1,0,-1,-1];3;-1;test
865564925221105666;#encontro;[1,1,1,1,1,1,1];0;1;test
862623978355085315;#encontro;[-1,-1,-1,-1,-1,-1,-1];3;-1;test
864169027370983425;#videoShowAoVivo;[1,1,1,1,1,1,1];0;1;test
864824770562584576;#masterchefbr;[-1,-1,-1,-1,-1,-1,-1];0;-1;test
864688807068782594;#ConversaComBial;[1,1,1,1,1,1,1];0;1;test
864655444786204672;#masterchefbr;[1,1,1,1,1,1,1];0;1;test
864462012318875651;#maisvoce;[1,1,1,1,1,1,1];0;1;test
864687047335923712;#masterchefbr;[0,0,-1,0,0,-1,-1];2;0;test
