863044774588272640;#encontro;[1,1,1,1,1,1,1];0;1;test
865583716088766467;#encontro;[1,1,1,1,1,1,1];0;1;test
865063232201011201;#TheNoite;[1,0,1,1,1,0,0];2;1;test
864674916532146176;#masterchefbr;[0,0,1,0,0,0,0];0;0;test
865566046320832512;#encontro;[-1,-1,-1,-1,-1,-1,-1];2;-1;test
862307799258329089;#encontro;[-1,-1,-1,-1,-1,-1,-1];0;-1;test
864668391008763905;#masterchefbr;[0,0,0,0,0,0,0];0;0;test
865572794016378882;#encontro;[-1,-1,-1,-1,-1,-1,-1];0;-1;test
864531723215925250;#videoShowAoVivo;[1,1,1,1,1,1,1];0;1;test
864176639143555072;#videoShowAoVivo;[0,0,1,0,0,0,0];0;0;test
